target_image,pair_image,audio,stimulus_type,condition,sentence_template,target_onset,group,speaker,expt_practice,audio_duration
saw.jpg,bottle.jpg,T_1_LFF_C_N_sk.wav,target,LFF,1F,2174,groupC,native,NA,2703
harp.jpg,sun.jpg,T_2_LFF_C_N_sk.wav,target,LFF,2F,2106,groupC,native,NA,2847
fan.jpg,moon.jpg,T_3_LFF_C_N_sk.wav,target,LFF,3F,2121,groupC,native,NA,3108
alligator.jpg,car.jpg,T_4_LFF_C_N_sk.wav,target,LFF,1F,2174,groupC,native,NA,3016
rhinoceros.jpg,baby.jpg,T_5_LFF_C_N_sk.wav,target,LFF,2F,2106,groupC,native,NA,3241
snowman.jpg,bus.jpg,T_6_LFF_C_N_sk.wav,target,LFF,3F,2121,groupC,native,NA,3017
ostrich.jpg,arm.jpg,T_7_LFF_C_N_sk.wav,target,LFF,1F,2174,groupC,native,NA,2993
pumpkin.jpg,train.jpg,T_8_LFF_C_N_sk.wav,target,LFF,2F,2106,groupC,native,NA,2916
hose.jpg,dog.jpg,T_1_LFD_C_N_sk.wav,target,LFD,1D,3505,groupC,native,NA,4215
snail.jpg,church.jpg,T_2_LFD_C_N_sk.wav,target,LFD,2D,3562,groupC,native,NA,4425
wateringcan.jpg,nose.jpg,T_3_LFD_C_N_sk.wav,target,LFD,3D,3638,groupC,native,NA,4163
strawberry.jpg,door.jpg,T_4_LFD_C_N_sk.wav,target,LFD,1D,3505,groupC,native,NA,4344
dolphin.jpg,fish.jpg,T_5_LFD_C_N_sk.wav,target,LFD,2D,3562,groupC,native,NA,4253
bat.jpg,hand.jpg,T_6_LFD_C_N_sk.wav,target,LFD,3D,3638,groupC,native,NA,4510
puzzle.jpg,eye.jpg,T_7_LFD_C_N_sk.wav,target,LFD,1D,3505,groupC,native,NA,4215
dinosaur.jpg,tree.jpg,T_8_LFD_C_N_sk.wav,target,LFD,2D,3562,groupC,native,NA,4466
bench.jpg,toothbrush.jpg,T_1_HFF_C_N_sk.wav,target,HFF,1F,2174,groupC,native,NA,2917
shoe.jpg,blimp.jpg,T_2_HFF_C_N_sk.wav,target,HFF,2F,2106,groupC,native,NA,2937
chair.jpg,globe.jpg,T_3_HFF_C_N_sk.wav,target,HFF,3F,2121,groupC,native,NA,2989
star.jpg,funnel.jpg,T_4_HFF_C_N_sk.wav,target,HFF,1F,2174,groupC,native,NA,2870
telephone.jpg,unicorn.jpg,T_5_HFF_C_N_sk.wav,target,HFF,2F,2106,groupC,native,NA,2907
tooth.jpg,cactus.jpg,T_6_HFF_C_N_sk.wav,target,HFF,3F,2121,groupC,native,NA,2757
ball.jpg,earring.jpg,T_7_HFF_C_N_sk.wav,target,HFF,2F,2106,groupC,native,NA,2793
flower.jpg,palmtree.jpg,T_8_HFF_C_N_sk.wav,target,HFF,3F,2121,groupC,native,NA,2714
table.jpg,highchair.jpg,T_1_HFD_C_N_sk.wav,target,HFD,1D,3505,groupC,native,NA,4118
factory.jpg,sewingmachine.jpg,T_2_HFD_C_N_sk.wav,target,HFD,2D,3562,groupC,native,NA,4288
stairs.jpg,wheelbarrow.jpg,T_3_HFD_C_N_sk.wav,target,HFD,3D,3638,groupC,native,NA,4317
rain.jpg,igloo.jpg,T_4_HFD_C_N_sk.wav,target,HFD,1D,3505,groupC,native,NA,4198
wall.jpg,swing.jpg,T_5_HFD_C_N_sk.wav,target,HFD,2D,3562,groupC,native,NA,4319
bridge.jpg,pineapple.jpg,T_6_HFD_C_N_sk.wav,target,HFD,3D,3638,groupC,native,NA,4346
cigarette.jpg,typewriter.jpg,T_7_HFD_C_N_sk.wav,target,HFD,2D,3562,groupC,native,NA,4390
king.jpg,vacuum.jpg,T_8_HFD_C_N_sk.wav,target,HFD,3D,3638,groupC,native,NA,4302
